# Accelerometer Data File
# Started @Tue Aug 01 23:45:42 GMT+08:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:GAME
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.095 0.283 9.78 20
-0.045 0.316 9.773 20
0.007 0.319 9.77 21
0.036 0.304 9.77 20
0.036 0.312 9.753 20
0.064 0.319 9.77 20
0.088 0.304 9.763 20
0.096 0.276 9.749 20
0.132 0.276 9.768 20
0.122 0.245 9.761 20
0.134 0.225 9.753 21
0.155 0.268 9.763 20
0.172 0.237 9.768 20
0.146 0.216 9.775 20
0.136 0.247 9.761 20
0.103 0.242 9.746 20
0.187 0.261 9.763 21
0.223 0.228 9.761 20
0.189 0.218 9.751 20
0.194 0.273 9.78 20
0.211 0.247 9.787 20
0.249 0.209 9.765 20
0.316 0.252 9.78 20
0.311 0.252 9.782 21
0.316 0.233 9.77 20
0.359 0.249 9.765 20
0.402 0.283 9.789 20
0.4 0.24 9.77 20
0.359 0.242 9.775 20
0.337 0.242 9.768 20
0.385 0.23 9.758 21
0.419 0.257 9.765 20
0.4 0.249 9.768 20
0.349 0.268 9.761 20
0.321 0.268 9.765 20
0.323 0.271 9.768 20
0.304 0.288 9.777 20
0.249 0.285 9.768 20
0.182 0.283 9.763 21
0.167 0.278 9.751 20
0.129 0.252 9.758 20
0.072 0.288 9.773 20
0.026 0.288 9.758 20
-0.052 0.268 9.763 20
-0.097 0.264 9.763 21
-0.138 0.276 9.763 20
-0.195 0.266 9.761 20
-0.243 0.242 9.758 20
-0.27 0.254 9.775 20
-0.308 0.249 9.765 20
-0.33 0.228 9.77 20
-0.344 0.237 9.765 20
-0.349 0.245 9.763 21
-0.389 0.23 9.777 20
-0.382 0.233 9.773 20
-0.37 0.237 9.768 20
-0.358 0.242 9.773 20
-0.33 0.24 9.768 20
-0.296 0.237 9.78 20
-0.267 0.245 9.773 21
-0.227 0.24 9.758 20
-0.181 0.237 9.746 20
-0.128 0.237 9.763 20
-0.069 0.252 9.763 20
0.021 0.242 9.761 20
0.064 0.235 9.739 20
0.127 0.259 9.756 21
0.199 0.268 9.763 20
0.263 0.242 9.765 20
0.342 0.247 9.787 20
0.407 0.261 9.758 20
0.452 0.271 9.77 20
0.491 0.268 9.765 20
0.531 0.271 9.758 21
0.562 0.266 9.782 20
0.591 0.271 9.785 20
0.613 0.29 9.773 20
0.608 0.295 9.78 20
0.606 0.29 9.768 20
0.589 0.304 9.785 20
0.553 0.295 9.765 21
0.524 0.29 9.763 20
0.476 0.268 9.78 20
0.428 0.276 9.765 20
0.366 0.28 9.744 20
0.313 0.271 9.758 20
0.249 0.271 9.782 20
0.172 0.245 9.763 21
0.112 0.252 9.758 20
0.041 0.252 9.753 20
-0.002 0.247 9.751 20
-0.069 0.237 9.756 20
-0.128 0.235 9.744 20
-0.184 0.218 9.744 20
-0.224 0.218 9.761 21
-0.243 0.213 9.761 20
-0.265 0.213 9.761 20
-0.279 0.197 9.761 20
-0.296 0.204 9.763 20
-0.294 0.216 9.763 20
-0.296 0.213 9.777 20
-0.294 0.233 9.768 21
-0.279 0.23 9.775 20
-0.267 0.237 9.77 20
-0.253 0.254 9.77 20
-0.241 0.257 9.768 20
-0.2 0.266 9.758 20
-0.174 0.273 9.773 20
-0.126 0.261 9.758 21
-0.093 0.266 9.753 20
-0.047 0.266 9.77 20
-0.006 0.276 9.77 20
0.045 0.271 9.777 20
0.076 0.273 9.768 20
0.108 0.264 9.765 20
0.141 0.28 9.765 21
0.167 0.283 9.77 20
0.211 0.273 9.753 20
0.246 0.261 9.768 20
0.261 0.249 9.773 20
0.275 0.242 9.756 20
0.316 0.237 9.765 20
0.318 0.233 9.763 21
0.321 0.245 9.763 20
0.321 0.245 9.756 20
0.304 0.237 9.765 20
0.323 0.228 9.756 20
0.313 0.24 9.765 20
0.282 0.252 9.765 20
0.287 0.249 9.758 21
0.251 0.254 9.765 20
0.218 0.28 9.758 20
0.234 0.283 9.742 20
0.211 0.28 9.77 20
0.191 0.288 9.789 20
0.16 0.288 9.756 20
0.143 0.288 9.765 21
0.127 0.278 9.78 20
0.108 0.261 9.768 20
0.098 0.254 9.761 20
0.093 0.237 9.761 20
0.074 0.233 9.773 20
0.053 0.24 9.768 20
0.041 0.223 9.773 21
0.031 0.225 9.744 20
0.029 0.228 9.773 20
0.007 0.197 9.777 20
0.012 0.211 9.765 20
-0.002 0.223 9.77 20
-0.006 0.233 9.744 20
-0.014 0.233 9.775 21
-0.016 0.249 9.777 20
-0.025 0.257 9.761 20
-0.021 0.259 9.756 20
-0.042 0.252 9.758 20
-0.061 0.28 9.761 20
-0.066 0.271 9.765 20
-0.061 0.285 9.773 21
-0.093 0.29 9.756 20
-0.064 0.288 9.761 20
-0.078 0.288 9.758 20
-0.085 0.283 9.768 20
-0.081 0.273 9.782 20
-0.069 0.278 9.761 20
-0.066 0.271 9.761 21
-0.059 0.266 9.768 20
-0.04 0.242 9.789 20
-0.03 0.237 9.77 20
-0.009 0.216 9.749 20
-0.016 0.223 9.763 20
0.002 0.218 9.756 20
0.043 0.218 9.768 21
0.053 0.223 9.758 20
0.081 0.221 9.753 20
0.096 0.218 9.756 20
0.108 0.218 9.768 20
0.148 0.228 9.768 20
0.155 0.223 9.765 20
0.17 0.247 9.758 21
0.196 0.235 9.78 20
0.218 0.245 9.761 20
0.242 0.264 9.753 20
0.266 0.278 9.765 20
0.278 0.271 9.763 20
0.282 0.283 9.77 20
0.285 0.292 9.761 21
0.292 0.273 9.77 20
0.29 0.273 9.765 20
0.27 0.285 9.773 20
0.268 0.278 9.765 20
0.256 0.285 9.756 20
0.225 0.297 9.763 20
0.208 0.283 9.763 21
0.194 0.276 9.761 20
0.165 0.257 9.765 20
0.136 0.273 9.756 20
0.112 0.271 9.768 20
0.091 0.261 9.753 20
0.067 0.247 9.77 20
0.05 0.233 9.775 21
0.0 0.237 9.749 20
-0.021 0.245 9.761 20
-0.028 0.245 9.763 20
-0.047 0.245 9.758 20
-0.09 0.235 9.765 20
-0.097 0.237 9.787 20
-0.109 0.223 9.758 21
-0.121 0.235 9.756 20
-0.126 0.252 9.773 20
-0.136 0.254 9.775 20
-0.128 0.247 9.77 20
-0.136 0.254 9.763 20
-0.116 0.268 9.768 20
-0.116 0.259 9.773 21
-0.128 0.271 9.782 20
-0.09 0.259 9.77 20
-0.061 0.249 9.753 20
-0.045 0.237 9.761 20
-0.021 0.247 9.773 20
0.002 0.252 9.758 20
0.026 0.252 9.763 21
0.053 0.257 9.787 20
0.091 0.242 9.761 20
0.117 0.249 9.758 20
0.132 0.249 9.773 20
